Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
M6/7570A,01/01/2016,00:14:00,0,13,1,1,4,,,,,,,,,,,,,,,67,19
M6/7570A,01/01/2016,00:29:00,1,16,0,1,4,,,,,,,,,,,,,,,66,21
M6/7570A,01/01/2016,00:44:00,2,42,0,1,5,,,,,,,,,,,,,,,65,48
M6/7570A,01/01/2016,00:59:00,3,35,1,0,6,,,,,,,,,,,,,,,66,42
M6/7570A,01/01/2016,01:14:00,4,30,1,2,5,,,,,,,,,,,,,,,67,38
M6/7570A,01/01/2016,01:29:00,5,31,0,3,4,,,,,,,,,,,,,,,64,38
M6/7570A,01/01/2016,01:44:00,6,39,3,2,6,,,,,,,,,,,,,,,65,50
M6/7570A,01/01/2016,01:59:00,7,33,2,0,5,,,,,,,,,,,,,,,65,40
M6/7570A,01/01/2016,02:14:00,8,28,3,1,3,,,,,,,,,,,,,,,67,35
M6/7570A,01/01/2016,02:29:00,9,17,1,2,4,,,,,,,,,,,,,,,66,24
M6/7570A,01/01/2016,02:44:00,10,20,2,0,4,,,,,,,,,,,,,,,67,26
M6/7570A,01/01/2016,02:59:00,11,14,3,2,0,,,,,,,,,,,,,,,68,19
M6/7570A,01/01/2016,03:14:00,12,14,1,0,7,,,,,,,,,,,,,,,66,22
M6/7570A,01/01/2016,03:29:00,13,11,0,2,4,,,,,,,,,,,,,,,64,17
M6/7570A,01/01/2016,03:44:00,14,7,0,0,6,,,,,,,,,,,,,,,62,13
M6/7570A,01/01/2016,03:59:00,15,10,1,3,4,,,,,,,,,,,,,,,64,18
M6/7570A,01/01/2016,04:14:00,16,14,2,3,5,,,,,,,,,,,,,,,65,24
